domain,difficulty,question,answer,label
DBMS,Easy,What are DDL and DML commands in SQL?,"DBMS is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. This is a foundational concept in DBMS that every practitioner should understand before moving to more advanced topics.",correct
AWS,Easy,What is an AWS Region?,"An AWS Region is a physical geographic area where AWS clusters data centers. Each Region consists of multiple, isolated, and physically separate Availability Zones. This is a feature in AWS that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
Java,Hard,How would you profile and eliminate lock contention in a Java microservice handling 100K RPS?,"In Java, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Machine Learning,Medium,Explain the kernel trick in Support Vector Machines.,"Machine Learning is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. Mastery of this area in Machine Learning allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Data Science,Medium,How do you choose between different evaluation metrics for a regression problem?,"This concept in Data Science is fundamental to building production-grade systems. In Data Science, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Linux,Easy,What is the crontab in Linux?,"This refers to a deprecated protocol that was used in legacy Linux systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
AWS,Hard,Explain how AWS Transit Gateway simplifies complex VPC peering topologies.,"In the context of AWS, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. At scale, this aspect of AWS requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Azure,Hard,Explain how to achieve PCI-DSS compliance on Azure for a payment processing system.,Azure is a core technology used in modern software systems. This is a feature in Azure that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
Full Stack Development,Easy,What is full stack development?,"In Full Stack Development, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
GCP,Easy,What is Google Cloud Platform?,"Google Cloud Platform (GCP) is a suite of cloud computing services offered by Google, running on the same infrastructure that Google uses internally for products like Google Search, Gmail, and YouTube. GCP provides services across compute (Compute Engine, GKE, Cloud Run), storage (Cloud Storage, Bigtable, Spanner), data analytics (BigQuery, Dataflow, Pub/Sub), machine learning (Vertex AI, AutoML), and networking (Cloud CDN, Cloud Armor). GCP is known for its data analytics capabilities, Kubernetes expertise, and global fiber network.",correct
Azure,Medium,Explain the difference between Azure Service Bus and Azure Event Hub.,"This concept in Azure is fundamental to building production-grade systems. In Azure, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Linux,Medium,Explain Linux's iptables firewall rule evaluation order.,"This refers to a deprecated protocol that was used in legacy Linux systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cloud Computing,Easy,"What is the difference between public, private, and hybrid cloud?","Cloud Computing is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. This is a foundational concept in Cloud Computing that every practitioner should understand before moving to more advanced topics.",correct
SQL,Easy,What is the difference between WHERE and HAVING clauses?,"SQL is a core technology used in modern software systems. This is related to SQL and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
SQL,Medium,What is a Common Table Expression (CTE) and when would you use it over a subquery?,"This concept belongs to a completely different technical domain and is not applicable to SQL. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Java,Medium,What is the difference between synchronized and ReentrantLock in Java?,"This concept in Java is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. Mastery of this area in Java allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Data Science,Hard,Design a recommendation system that handles the cold-start problem at scale.,"This concept in Data Science is fundamental to building production-grade systems. In Data Science, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Python,Easy,What is PEP 8?,"This refers to a deprecated protocol that was used in legacy Python systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
Full Stack Development,Medium,Explain the CORS mechanism and how to configure it properly.,"Full Stack Development is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. Mastery of this area in Full Stack Development allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Networking,Easy,What is the difference between TCP and UDP?,"In the context of Networking, this is a well-established technique that solves a common engineering challenge. In Networking, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Networking,Medium,How does NAT (Network Address Translation) work?,"In Networking, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cyber Security,Easy,What is the difference between encryption and hashing?,"This concept in Cyber Security is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. This is a foundational concept in Cyber Security that every practitioner should understand before moving to more advanced topics.",correct
Networking,Hard,Explain MPLS traffic engineering and how it optimizes backbone network paths.,"In the context of Networking, this is a well-established technique that solves a common engineering challenge. In Networking, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
DevOps,Medium,Explain the difference between blue-green and canary deployments.,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with DevOps specifically and is primarily used in telecommunications infrastructure for signal amplification. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Data Science,Easy,"What is the difference between mean, median, and mode?","In the context of Data Science, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. This is a foundational concept in Data Science that every practitioner should understand before moving to more advanced topics.",correct
Cyber Security,Hard,How would you perform red team operations against a hardened Kubernetes cluster?,"In the context of Cyber Security, this is a well-established technique that solves a common engineering challenge. This is a feature in Cyber Security that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
DBMS,Medium,How does database connection pooling work?,"This refers to a deprecated protocol that was used in legacy DBMS systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cyber Security,Medium,How does a DDoS attack differ from a DoS attack?,"In the context of Cyber Security, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. Mastery of this area in Cyber Security allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Machine Learning,Hard,"Explain how diffusion models generate images, including the forward and reverse process.","This concept in Machine Learning is fundamental to building production-grade systems. In Machine Learning, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Azure,Easy,What is Azure Active Directory?,This concept belongs to a completely different technical domain and is not applicable to Azure. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
Python,Hard,Design a distributed task queue in Python supporting retry logic and dead-letter queues.,"In the context of Python, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. At scale, this aspect of Python requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Java,Easy,What is method overloading in Java?,Java is a core technology used in modern software systems. This is a feature in Java that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
DevOps,Hard,How would you migrate a 200-service monolith to microservices with zero downtime?,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with DevOps specifically and is primarily used in telecommunications infrastructure for signal amplification. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Machine Learning,Easy,What is feature scaling and why is it important?,"Machine Learning is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. This is a foundational concept in Machine Learning that every practitioner should understand before moving to more advanced topics.",correct
SQL,Hard,Design a schema and query strategy for a time-series billing system processing 1B rows.,"In the context of SQL, this is a well-established technique that solves a common engineering challenge. In SQL, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
GCP,Hard,"Design a petabyte-scale data warehouse on GCP using BigQuery, Dataflow, and Cloud Storage.","This concept belongs to a completely different technical domain and is not applicable to GCP. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Cloud Computing,Medium,How does containerization differ from virtualization in cloud environments?,"This concept in Cloud Computing is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. Mastery of this area in Cloud Computing allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
AWS,Medium,How does AWS Elastic Load Balancing distribute traffic?,"In the context of AWS, this is a well-established technique that solves a common engineering challenge. This is related to AWS and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Linux,Hard,Explain how NUMA architecture affects Linux performance and how to optimize for it.,"In Linux, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
